OBJECTID,Sistema_de_Transporte,PK,POINT_M,NEAR_FID,NEAR_DIST,GlobalID,Latitud,Longitud
117,Poliducto Medellin-Cartago-Yumbo | Cartago-Yumbo,K50+500,50500,71,0.66757814262823,{00EF9FED-D706-4B4A-B02E-C23D8F7F0725},4.33008922834802,-76.0678643070119
118,Poliducto Buenaventura - Yumbo | Gallineros - Estación Dagua,K19+000,19000.0000000002,68,0.35732136969508,{201AD370-292A-41BD-81CC-8542A812A8D8},3.87915288372009,-76.9142970442868
119,"Poliducto Galan - Salgar de 16"""" | Sebastopol - Salgar 16""""",K126+000,126000,65,0.056787407021812,{A3E0B68C-7CFE-4F6A-BF25-03E28957EEB6},6.38876876501048,-74.3745505953921
120,"Poliducto Galan - Salgar de 12"""" | Galan Sebastopol 12""""",K25+500,25500.0000000002,67,0.028223337796353,{E0708E2C-8599-43BC-A3F6-F65F465997B8},6.96912195633373,-73.8561527304974
121,Poliducto de Oriente | Sebastopol - Santa Rosa,K1+000,1000.00000000023,45,0.368881708112238,{FCC1CEC0-36A3-4524-8499-571048540AD0},6.47796008173915,-74.3874508942867
122,Poliducto Galan - Chimita | Galan - Lizama,K14+500,14500,66,0.154473990765781,{8FCC8338-5A35-4085-A15D-3DE5ADF7956A},7.08916924747704,-73.8475940634908
123,Poliducto Medellin-Cartago-Yumbo | Medellin - La Felisa,K9+500,9500.00000000023,112,0.139562504524564,{1ACD8E2B-65F5-4D79-934B-AE6A88A0FE7E},6.31541325187463,-75.5898500923047
124,Poliandino | Monterrey - Apiay,K146+000,146000,56,0.246823536449822,{1FEAF479-70D5-402D-805A-AB720334727A},4.84344329222304,-72.9355916116575
125,Poliducto Galan - Chimita | Galan - Lizama,K59+500,59500,66,0.238819289571047,{EFB881A0-1026-43B2-9BE0-2239EB2CFE69},7.07541005023432,-73.7292724134436
126,Poliducto Medellin-Cartago-Yumbo | Medellin - La Felisa,K106+000,106000,112,0.108785874005811,{64D8FBA0-3997-462B-ACB9-B79ADE5B8A85},5.64383573464823,-75.6075866882342
127,Poliducto Pozos Colorados - Ayacucho - Galán | Pozos Colorados - Ayacucho,K41+500,41500,52,0.319663111281029,{3B6C4B17-676B-4ED4-939E-0A10E1700DF7},10.8440998312199,-74.1319755172614
128,Poliducto Pozos Colorados - Ayacucho - Galán | Pozos Colorados - Ayacucho,K151+500,151500,52,0.156005090432662,{8E2099F5-7CBF-43E9-9035-1C959CD328DD},9.9518918380669,-73.859917002159
129,Poliducto ODECA | Lucerna-Guacari,K94+000,94000,28,0.10856455376281,{84569BCC-9299-4CBA-B8AF-289815A88F1F},4.04121732193376,-76.2257094270698
130,Poliducto Pozos Colorados - Ayacucho - Galán | Pozos Colorados - Ayacucho,K268+500,268500,52,0.860223664130928,{487200D2-BBEB-454B-9AE9-360FC5CD4B9D},9.03192986464231,-73.646875477169
131,Poliandino | Sutamarchan - Miraflores,K0+500,500.000000000232,57,0.818545528645166,{58A8E97A-E6D9-4D63-91B4-F546EE1CEC5E},5.66865732633325,-73.5763254905501
